Ticker,Exchange
HAL,NSE
BOSCHLTD,NSE
DLF,NSE
ADANIPOWER,NSE
ADANIENSOL,NSE
SOLARINDS,NSE
DIVISLAB,NSE
MAZDOCK,NSE
TMCV,NSE
PFC,NSE
VEDL,NSE
MOTHERSON,NSE
TORNTPHARM,NSE
RECLTD,NSE
TVSMOTOR,NSE
LODHA,NSE
VBL,NSE
HDFCAMC,NSE
BPCL,NSE
BRITANNIA,NSE
MUTHOOTFIN,NSE
CGPOWER,NSE
DMART,NSE
GODREJCP,NSE
HINDZINC,NSE
UNIONBANK,NSE
ADANIGREEN,NSE
LTM,NSE
IOC,NSE
PIDILITIND,NSE
TATAPOWER,NSE
GAIL,NSE
HYUNDAI,NSE
CHOLAFIN,NSE
AMBUJACEM,NSE
SHREECEM,NSE
ABB,NSE
CUMMINSIND,NSE
PNB,NSE
ZYDUSLIFE,NSE
BANKBARODA,NSE
CANBK,NSE
INDHOTEL,NSE
ENRIN,NSE
JINDALSTEL,NSE
UNITDSPR,NSE
IRFC,NSE
SIEMENS,NSE
TATACAP,NSE
BAJAJHLDNG,NSE
