Ticker,Exchange
RELIANCE,NSE
BHARTIARTL,NSE
HDFCBANK,NSE
ICICIBANK,NSE
INFY,NSE
HAL,NSE
AXISBANK,NSE
SBIN,NSE
ETERNAL,NSE
LT,NSE
GRASIM,NSE
M&M,NSE
BOSCHLTD,NSE
APOLLOHOSP,NSE
TCS,NSE
DLF,NSE
HCLTECH,NSE
ADANIPOWER,NSE
ITC,NSE
BEL,NSE
BAJFINANCE,NSE
ADANIENSOL,NSE
MARUTI,NSE
SOLARINDS,NSE
ONGC,NSE
DIVISLAB,NSE
SUNPHARMA,NSE
NTPC,NSE
TMPV,NSE
MAZDOCK,NSE
TECHM,NSE
COALINDIA,NSE
TMCV,NSE
SHRIRAMFIN,NSE
INDIGO,NSE
PFC,NSE
BAJAJ-AUTO,NSE
ASIANPAINT,NSE
NESTLEIND,NSE
HINDALCO,NSE
VEDL,NSE
HINDUNILVR,NSE
TATASTEEL,NSE
ULTRACEMCO,NSE
JIOFIN,NSE
MAXHEALTH,NSE
KOTAKBANK,NSE
ADANIENT,NSE
ADANIPORTS,NSE
MOTHERSON,NSE
TRENT,NSE
TORNTPHARM,NSE
EICHERMOT,NSE
RECLTD,NSE
TVSMOTOR,NSE
LODHA,NSE
POWERGRID,NSE
TITAN,NSE
VBL,NSE
HDFCAMC,NSE
BPCL,NSE
BRITANNIA,NSE
MUTHOOTFIN,NSE
CGPOWER,NSE
DMART,NSE
GODREJCP,NSE
HINDZINC,NSE
WIPRO,NSE
UNIONBANK,NSE
ADANIGREEN,NSE
LTM,NSE
IOC,NSE
PIDILITIND,NSE
TATAPOWER,NSE
GAIL,NSE
HYUNDAI,NSE
SBILIFE,NSE
TATACONSUM,NSE
CHOLAFIN,NSE
AMBUJACEM,NSE
SHREECEM,NSE
ABB,NSE
CUMMINSIND,NSE
DRREDDY,NSE
PNB,NSE
JSWSTEEL,NSE
ZYDUSLIFE,NSE
BANKBARODA,NSE
CANBK,NSE
CIPLA,NSE
BAJAJFINSV,NSE
INDHOTEL,NSE
HDFCLIFE,NSE
ENRIN,NSE
JINDALSTEL,NSE
UNITDSPR,NSE
IRFC,NSE
SIEMENS,NSE
TATACAP,NSE
BAJAJHLDNG,NSE
BSE,NSE
TIINDIA,NSE
IDEA,NSE
GROWW,NSE
MCX,NSE
LENSKART,NSE
PAYTM,NSE
APARINDS,NSE
DIXON,NSE
KALYANKJIL,NSE
BDL,NSE
LTF,NSE
BHEL,NSE
OBEROIRLTY,NSE
SUZLON,NSE
COFORGE,NSE
HEROMOTOCO,NSE
ASHOKLEY,NSE
OIL,NSE
POLYCAB,NSE
LAURUSLABS,NSE
SWIGGY,NSE
POLICYBZR,NSE
LICI,NSE
GVT&D,NSE
NAUKRI,NSE
COCHINSHIP,NSE
HINDPETRO,NSE
PERSISTENT,NSE
RADICO,NSE
SAIL,NSE
KEI,NSE
SBICARD,NSE
ABCAPITAL,NSE
PAGEIND,NSE
INDUSTOWER,NSE
POWERINDIA,NSE
MFSL,NSE
BHARATFORG,NSE
PIIND,NSE
LUPIN,NSE
NMDC,NSE
IPCALAB,NSE
COLPAL,NSE
GODREJPROP,NSE
PATANJALI,NSE
LGEINDIA,NSE
GLAXO,NSE
HAVELLS,NSE
OFSS,NSE
VOLTAS,NSE
MPHASIS,NSE
NAM-INDIA,NSE
JUBLFOOD,NSE
BIOCON,NSE
YESBANK,NSE
NATIONALUM,NSE
PRESTIGE,NSE
WAAREEENER,NSE
ICICIGI,NSE
FORTIS,NSE
FEDERALBNK,NSE
UPL,NSE
MOTILALOFS,NSE
KPITTECH,NSE
AUROPHARMA,NSE
LICHSGFIN,NSE
APLAPOLLO,NSE
GLENMARK,NSE
PHOENIXLTD,NSE
MANKIND,NSE
BLUESTARCO,NSE
PETRONET,NSE
ICICIPRULI,NSE
360ONE,NSE
DABUR,NSE
IDFCFIRSTB,NSE
EXIDEIND,NSE
TATAELXSI,NSE
ALKEM,NSE
MAHABANK,NSE
GMRAIRPORT,NSE
ICICIAMC,NSE
LLOYDSME,NSE
JSWENERGY,NSE
SRF,NSE
JSWINFRA,NSE
TATACOMM,NSE
FLUOROCHEM,NSE
UNOMINDA,NSE
M&MFIN,NSE
VMM,NSE
PREMIERENE,NSE
INDUSINDBK,NSE
AJANTPHARM,NSE
NYKAA,NSE
THERMAX,NSE
RVNL,NSE
JSL,NSE
AUBANK,NSE
MARICO,NSE
DALBHARAT,NSE
TORNTPOWER,NSE
MEDANTA,NSE
SCHAEFFLER,NSE
ANTHEM,NSE
INDIANB,NSE
NHPC,NSE
ENDURANCE,NSE
SUPREMEIND,NSE
SUNDARMFIN,NSE
HDBFS,NSE
MRF,NSE
BANKINDIA,NSE
IREDA,NSE
GODFRYPHLP,NSE
IRCTC,NSE
ASTRAL,NSE
GICRE,NSE
GODREJIND,NSE
NLCINDIA,NSE
LINDEINDIA,NSE
AIAENG,NSE
ATGL,NSE
CONCOR,NSE
HUDCO,NSE
AWL,NSE
NIACL,NSE
BHARTIHEXA,NSE
CRISIL,NSE
LTTS,NSE
BAJAJHFL,NSE
ESCORTS,NSE
ACC,NSE
ITCHOTELS,NSE
BERGEPAINT,NSE
BALKRISIND,NSE
KPRMILL,NSE
COROMANDEL,NSE
ABBOTINDIA,NSE
NTPCGREEN,NSE
HONAUT,NSE
TATAINVEST,NSE
JKCEMENT,NSE
APOLLOTYRE,NSE
UBL,NSE
SJVN,NSE
AIIL,NSE
3MINDIA,NSE
HEXT,NSE
NETWEB,NSE
WELSPUNLIV,NSE
MRPL,NSE
HINDCOPPER,NSE
HFCL,NSE
DATAPATTNS,NSE
PWL,NSE
ZENTEC,NSE
CHENNPETRO,NSE
JYOTICNC,NSE
AMBER,NSE
AEGISLOG,NSE
ATHERENERG,NSE
IFCI,NSE
HEG,NSE
SYRMA,NSE
SAMMAANCAP,NSE
GRSE,NSE
ZEEL,NSE
HSCL,NSE
SONACOMS,NSE
PINELABS,NSE
ANGELONE,NSE
ACE,NSE
RRKABEL,NSE
KAYNES,NSE
URBANCO,NSE
SCHNEIDER,NSE
PCBL,NSE
FORCEMOT,NSE
BEML,NSE
GLAND,NSE
ACUTAAS,NSE
INOXWIND,NSE
CPPLUS,NSE
WELCORP,NSE
GESHIP,NSE
NEULANDLAB,NSE
PTCIL,NSE
TATATECH,NSE
PGEL,NSE
KFINTECH,NSE
MINDACORP,NSE
BELRISE,NSE
FINCABLES,NSE
PPLPHARMA,NSE
CYIENT,NSE
MEESHO,NSE
CDSL,NSE
BLUEJET,NSE
CAMS,NSE
HONASA,NSE
WOCKPHARMA,NSE
RBLBANK,NSE
NAVINFLUOR,NSE
MANAPPURAM,NSE
CUB,NSE
IIFL,NSE
PNBHOUSING,NSE
TENNIND,NSE
SCI,NSE
PFOCUS,NSE
BANDHANBNK,NSE
TRITURBINE,NSE
CONCORDBIO,NSE
BALRAMCHIN,NSE
CARTRADE,NSE
OLAELEC,NSE
ASAHIINDIA,NSE
ANANTRAJ,NSE
GRAPHITE,NSE
COHANCE,NSE
GPIL,NSE
REDINGTON,NSE
DELHIVERY,NSE
SAILIFE,NSE
RKFORGE,NSE
TBOTEK,NSE
CRAFTSMAN,NSE
CGCL,NSE
ANURAS,NSE
KEC,NSE
ENGINERSIN,NSE
CARBORUNIV,NSE
NBCC,NSE
NUVAMA,NSE
PVRINOX,NSE
EIDPARRY,NSE
CEMPRO,NSE
ASTERDM,NSE
SAGILITY,NSE
GMDCLTD,NSE
BATAINDIA,NSE
TECHNOE,NSE
AARTIIND,NSE
CESC,NSE
HBLENGINE,NSE
KIRLOSENG,NSE
NH,NSE
SHYAMMETL,NSE
BLS,NSE
DEEPAKNTR,NSE
LALPATHLAB,NSE
POLYMED,NSE
TEJASNET,NSE
SONATSOFTW,NSE
ARE&M,NSE
J&KBANK,NSE
ELGIEQUIP,NSE
ZFCVINDIA,NSE
PFIZER,NSE
PIRAMALFIN,NSE
EMMVEE,NSE
TITAGARH,NSE
ONESOURCE,NSE
GRANULES,NSE
NSLNISP,NSE
KARURVYSYA,NSE
HOMEFIRST,NSE
LEMONTREE,NSE
CROMPTON,NSE
FIRSTCRY,NSE
MGL,NSE
PARADEEP,NSE
JPPOWER,NSE
POONAWALLA,NSE
GABRIEL,NSE
RPOWER,NSE
AFCONS,NSE
ANANDRATHI,NSE
DEVYANI,NSE
EMCURE,NSE
ECLERX,NSE
GRAVITA,NSE
NATCOPHARM,NSE
OLECTRA,NSE
USHAMART,NSE
IEX,NSE
SWANCORP,NSE
AEGISVOPAK,NSE
IKS,NSE
MSUMI,NSE
INTELLECT,NSE
ZENSARTECH,NSE
ACMESOLAR,NSE
DEEPAKFERT,NSE
