ticker,tier,bh_10y,T20,T30,T40,SPLIT
360ONE,Midcap150,,2.117,2.678,3.271,2.132
3MINDIA,Midcap150,2.89,2.23,2.366,2.131,2.727
ACC,Midcap150,0.85,0.829,0.865,0.73,0.995
AIAENG,Midcap150,3.54,0.931,1.434,1.248,1.362
APLAPOLLO,Midcap150,24.83,11.011,19.852,18.311,13.375
AUBANK,Midcap150,,1.34,1.108,2.217,1.787
AWL,Midcap150,,0.443,0.439,0.439,0.441
ABBOTINDIA,Midcap150,6.75,3.003,5.856,6.548,4.036
ATGL,Midcap150,,6.065,10.657,7.716,7.51
ABCAPITAL,Midcap150,,2.144,4.99,6.292,3.698
AJANTPHARM,Midcap150,3.04,1.887,1.679,3.307,2.008
ALKEM,Midcap150,3.67,1.231,1.751,2.557,2.05
ANTHEM,Midcap150,,1.349,1.349,1.349,1.349
APARINDS,Midcap150,35.78,2.672,10.904,14.938,8.05
APOLLOTYRE,Midcap150,2.19,0.889,1.79,3.381,2.386
ASHOKLEY,Midcap150,4.85,2.121,2.859,5.893,3.976
ASTRAL,Midcap150,7.19,3.031,2.03,4.084,3.684
AUROPHARMA,Midcap150,2.32,2.31,1.871,1.6,1.66
AIIL,Midcap150,,1.161,1.266,1.641,1.456
BSE,Midcap150,34.33,5.715,18.52,50.122,18.983
BAJAJHFL,Midcap150,,0.702,0.702,0.702,0.702
BALKRISIND,Midcap150,5.49,1.434,1.236,1.747,2.174
BANKINDIA,Midcap150,1.41,0.962,0.86,1.063,1.202
MAHABANK,Midcap150,3.14,2.142,1.991,4.199,2.741
BERGEPAINT,Midcap150,2.2,1.331,1.116,1.777,1.358
BDL,Midcap150,,1.547,3.679,3.346,2.35
BHARATFORG,Midcap150,4.94,3.508,4.131,3.278,3.267
BHEL,Midcap150,4.72,1.36,5.698,5.54,2.833
BHARTIHEXA,Midcap150,,0.987,1.233,1.233,1.128
BIOCON,Midcap150,2.62,0.503,1.055,0.915,1.003
BLUESTARCO,Midcap150,6.48,2.712,4.72,4.553,3.001
CRISIL,Midcap150,2.47,2.334,2.321,1.778,1.825
COCHINSHIP,Midcap150,,2.022,2.712,4.773,2.838
COFORGE,Midcap150,24.63,5.997,7.952,5.862,3.068
COLPAL,Midcap150,2.4,1.807,1.434,2.513,1.89
CONCOR,Midcap150,1.26,1.046,1.651,1.462,1.447
COROMANDEL,Midcap150,8.68,3.285,3.497,5.003,3.695
DABUR,Midcap150,1.48,0.894,1.415,1.531,1.475
DALBHARAT,Midcap150,,0.977,0.795,1.128,1.33
DIXON,Midcap150,,14.732,17.393,21.361,15.836
ENDURANCE,Midcap150,4.3,4.255,3.234,2.811,3.458
ESCORTS,Midcap150,8.56,2.049,2.72,3.649,2.857
EXIDEIND,Midcap150,2.43,1.915,1.935,1.491,1.97
NYKAA,Midcap150,,1.815,2.151,2.506,1.826
FEDERALBNK,Midcap150,4.96,1.668,2.485,2.382,1.687
FORTIS,Midcap150,5.15,1.696,3.468,3.957,2.582
GVT&D,Midcap150,14.04,1.953,5.347,4.567,2.456
GMRAIRPORT,Midcap150,8.0,1.05,2.089,5.274,3.853
GICRE,Midcap150,,1.248,0.954,1.742,1.367
GLAXO,Midcap150,2.43,0.888,0.85,1.502,1.137
GLENMARK,Midcap150,2.81,2.795,2.368,2.478,2.069
MEDANTA,Midcap150,,1.568,1.371,2.354,2.129
GODFRYPHLP,Midcap150,5.21,0.736,1.348,1.309,0.903
GODREJIND,Midcap150,2.66,0.666,1.148,0.833,0.887
GODREJPROP,Midcap150,5.09,3.242,2.769,1.491,2.486
FLUOROCHEM,Midcap150,,1.537,1.874,3.144,3.053
HDBFS,Midcap150,,0.955,0.955,0.955,0.955
HAVELLS,Midcap150,2.85,1.489,1.736,2.202,1.913
HEROMOTOCO,Midcap150,2.08,2.361,1.911,1.557,1.457
HEXT,Midcap150,,0.732,0.732,0.732,0.732
HINDPETRO,Midcap150,3.28,0.99,1.653,2.148,2.018
POWERINDIA,Midcap150,,4.276,21.747,25.695,11.343
HONAUT,Midcap150,3.67,1.112,1.507,1.465,1.358
HUDCO,Midcap150,,1.924,1.757,5.04,3.277
ICICIGI,Midcap150,,1.037,1.129,0.892,1.175
ICICIPRULI,Midcap150,1.71,0.477,0.659,0.611,0.759
IDFCFIRSTB,Midcap150,1.38,1.539,1.133,0.899,1.299
ITCHOTELS,Midcap150,,0.911,0.933,0.933,0.923
INDIANB,Midcap150,4.7,3.484,6.378,13.478,7.669
IRCTC,Midcap150,,2.979,3.102,2.109,2.022
IREDA,Midcap150,,1.008,0.878,0.752,0.88
INDUSTOWER,Midcap150,1.6,0.425,0.378,0.5,0.464
INDUSINDBK,Midcap150,0.87,0.647,0.767,1.261,1.279
NAUKRI,Midcap150,7.96,1.826,3.782,3.595,2.422
IPCALAB,Midcap150,7.03,1.573,4.503,7.331,3.657
JKCEMENT,Midcap150,6.86,5.483,7.709,5.458,6.503
JSWENERGY,Midcap150,7.08,5.023,4.877,3.431,4.661
JSWINFRA,Midcap150,,0.761,0.736,0.736,0.748
JSL,Midcap150,33.75,6.558,5.761,13.129,9.498
JUBLFOOD,Midcap150,4.75,1.67,1.452,1.682,1.914
KPRMILL,Midcap150,10.5,3.577,6.513,8.505,5.61
KEI,Midcap150,42.15,3.646,26.615,19.546,8.801
KPITTECH,Midcap150,,6.843,12.173,12.885,6.161
KALYANKJIL,Midcap150,,3.21,4.25,3.643,2.221
LTF,Midcap150,3.98,3.823,3.21,3.214,3.433
LTTS,Midcap150,4.18,2.908,4.459,3.543,4.049
LICHSGFIN,Midcap150,1.19,0.806,0.772,0.695,0.918
LAURUSLABS,Midcap150,21.97,3.935,4.698,5.498,2.965
LICI,Midcap150,,1.323,1.416,1.213,1.379
LINDEINDIA,Midcap150,17.09,3.225,6.144,9.711,6.467
LLOYDSME,Midcap150,,1.332,1.165,1.969,1.599
LUPIN,Midcap150,1.45,2.153,1.968,1.693,1.799
MRF,Midcap150,3.07,1.417,1.141,2.209,1.673
M&MFIN,Midcap150,1.9,0.416,0.508,1.117,0.966
MANKIND,Midcap150,,0.68,0.812,1.279,1.156
MARICO,Midcap150,3.26,1.951,2.839,2.431,2.128
MFSL,Midcap150,2.67,1.905,2.635,2.288,2.218
MPHASIS,Midcap150,5.81,1.869,1.351,1.525,2.272
MCX,Midcap150,19.55,2.369,3.981,7.899,5.884
NHPC,Midcap150,4.6,1.507,1.783,2.772,1.889
NLCINDIA,Midcap150,5.77,2.786,2.726,5.509,3.696
NMDC,Midcap150,5.8,2.295,2.2,3.185,2.626
NTPCGREEN,Midcap150,,0.677,0.677,0.677,0.677
NATIONALUM,Midcap150,14.58,2.206,11.964,11.159,6.665
NAM-INDIA,Midcap150,,1.055,6.476,6.852,4.128
OBEROIRLTY,Midcap150,6.45,2.269,2.172,2.617,2.578
OIL,Midcap150,5.78,2.538,3.953,4.052,3.63
PAYTM,Midcap150,,2.709,1.812,3.149,2.656
OFSS,Midcap150,4.96,4.019,3.41,2.318,2.973
POLICYBZR,Midcap150,,2.164,3.438,2.946,1.929
PIIND,Midcap150,3.06,1.55,1.247,1.176,1.229
PAGEIND,Midcap150,2.81,2.564,1.446,1.069,1.743
PERSISTENT,Midcap150,19.11,2.922,6.998,10.171,6.371
PETRONET,Midcap150,2.5,0.425,1.169,1.145,1.028
PHOENIXLTD,Midcap150,9.78,1.732,3.183,9.096,4.805
POLYCAB,Midcap150,,6.118,8.909,7.473,4.707
PREMIERENE,Midcap150,,0.677,0.677,0.677,0.677
PRESTIGE,Midcap150,7.74,1.247,3.157,4.973,3.323
RADICO,Midcap150,44.79,4.75,11.12,15.347,9.239
RVNL,Midcap150,,3.618,6.522,16.252,8.674
SBICARD,Midcap150,,0.395,0.396,0.363,0.429
SJVN,Midcap150,3.9,2.46,3.408,2.885,1.818
SRF,Midcap150,8.19,2.027,3.694,3.165,3.451
SCHAEFFLER,Midcap150,5.42,1.718,1.795,1.661,1.731
SAIL,Midcap150,4.77,1.556,3.216,2.913,2.247
SUNDARMFIN,Midcap150,4.43,1.662,3.596,2.762,2.569
SUPREMEIND,Midcap150,4.29,1.202,1.156,1.729,1.613
SUZLON,Midcap150,2.87,11.671,5.179,3.035,4.908
SWIGGY,Midcap150,,0.823,0.791,0.791,0.841
TATACOMM,Midcap150,6.21,1.616,1.902,1.293,1.766
TATAELXSI,Midcap150,4.64,6.822,6.171,5.556,7.0
TATAINVEST,Midcap150,12.52,10.309,12.727,6.857,9.068
NIACL,Midcap150,,1.408,1.309,1.398,1.33
THERMAX,Midcap150,4.43,2.07,2.724,2.624,2.371
TORNTPOWER,Midcap150,8.77,1.175,1.286,6.834,4.238
TIINDIA,Midcap150,,5.172,10.515,7.721,4.585
UNOMINDA,Midcap150,24.68,6.124,9.081,9.542,6.77
UPL,Midcap150,1.32,0.858,0.94,0.792,1.032
UBL,Midcap150,1.55,0.643,0.723,0.546,0.693
VMM,Midcap150,,0.807,0.856,0.856,0.864
IDEA,Midcap150,0.28,0.931,0.555,0.408,0.685
VOLTAS,Midcap150,3.15,2.001,2.184,1.484,2.295
WAAREEENER,Midcap150,,0.791,0.791,0.791,0.791
ACMESOLAR,Smallcap250,,1.869,1.73,1.73,1.799
AADHARHFC,Smallcap250,,0.749,0.915,0.915,0.898
AARTIIND,Smallcap250,3.54,0.981,1.743,1.929,1.379
AAVAS,Smallcap250,,1.442,1.491,1.09,1.429
ACE,Smallcap250,30.47,6.444,41.829,33.571,10.6
ACUTAAS,Smallcap250,,1.466,5.569,5.569,3.332
ABLBL,Smallcap250,,0.922,0.922,0.922,0.922
ABSLAMC,Smallcap250,,2.648,2.547,2.676,2.271
CPPLUS,Smallcap250,,2.07,2.423,2.423,2.247
AEGISLOG,Smallcap250,9.78,1.474,1.073,1.774,1.311
AEGISVOPAK,Smallcap250,,1.275,1.275,1.275,1.275
AFCONS,Smallcap250,,0.813,0.784,0.784,0.798
