ticker,tier,years,mcap_now_cr,mult_10y,mult_5y,mult_full,best_run,est_cap_10y_ago,est_cap_5y_ago,engine_mult,engine_trades
360ONE,Midcap150,7.0,45197,,3.1,4.29,7.88,,14580,2.11,11
3MINDIA,Midcap150,10.2,38994,2.89,1.51,2.77,4.17,13507,25881,2.23,13
ACC,Midcap150,10.2,23500,0.85,0.57,0.86,3.19,27748,41265,0.83,16
AIAENG,Midcap150,10.2,37048,3.54,1.98,4.11,5.37,10455,18742,0.92,17
APLAPOLLO,Midcap150,10.2,60946,24.83,2.5,24.14,28.47,2455,24395,11.01,16
AUBANK,Midcap150,9.2,78913,,1.98,3.74,5.97,,39921,1.34,17
AWL,Midcap150,4.6,24051,,,0.7,3.14,,,0.44,11
ABBOTINDIA,Midcap150,10.2,57235,6.75,1.35,6.48,9.77,8476,42437,3.0,13
ATGL,Midcap150,7.9,68766,,0.45,8.32,52.09,,154045,6.06,16
ABCAPITAL,Midcap150,9.0,110180,,3.49,1.69,10.6,,31607,2.14,18
AJANTPHARM,Midcap150,10.2,44587,3.04,2.62,3.72,6.9,14668,17040,1.89,17
ALKEM,Midcap150,10.2,64774,3.67,1.44,4.41,5.09,17648,45021,1.23,17
ANTHEM,Midcap150,1.2,49538,,,1.21,1.62,,,1.35,1
APARINDS,Midcap150,10.2,74851,35.78,28.62,39.25,81.54,2092,2615,2.67,28
APOLLOTYRE,Midcap150,10.2,25664,2.19,1.89,3.14,7.79,11728,13590,0.88,19
ASHOKLEY,Midcap150,10.2,95679,4.85,2.83,4.27,13.46,19742,33800,2.06,20
ASTRAL,Midcap150,10.2,37471,7.19,0.88,6.74,14.27,5210,42367,2.86,17
AUROPHARMA,Midcap150,10.2,99051,2.32,2.41,2.38,6.09,42776,41060,2.31,12
AIIL,Midcap150,2.4,47680,,,3.03,4.38,,,1.16,8
BSE,Midcap150,9.6,132833,34.33,26.38,34.33,154.02,3870,5035,5.71,19
BAJAJHFL,Midcap150,2.0,69561,,,0.51,1.26,,,0.7,5
BALKRISIND,Midcap150,10.2,42522,5.49,0.86,7.14,10.9,7742,49210,1.43,19
BANKINDIA,Midcap150,10.2,63578,1.41,3.04,1.5,6.43,45167,20907,0.95,24
MAHABANK,Midcap150,10.2,64694,3.14,5.46,2.82,13.08,20597,11859,2.14,23
BERGEPAINT,Midcap150,10.2,53607,2.2,0.68,2.85,4.91,24414,79250,1.33,13
BDL,Midcap150,8.5,42558,,6.29,6.84,27.25,,6763,1.55,20
BHARATFORG,Midcap150,10.2,95809,4.94,2.72,5.8,10.78,19383,35244,3.51,12
BHEL,Midcap150,10.2,147326,4.72,7.65,4.95,22.67,31244,19265,1.33,22
BHARTIHEXA,Midcap150,2.5,76260,,,1.91,2.47,,,0.99,4
BIOCON,Midcap150,10.2,64318,2.62,1.11,3.3,4.2,24565,57983,0.47,20
BLUESTARCO,Midcap150,10.2,31509,6.48,3.52,7.71,12.03,4864,8943,2.5,15
CRISIL,Midcap150,10.2,33682,2.47,1.7,2.69,6.31,13613,19761,2.33,14
COCHINSHIP,Midcap150,9.1,36042,,8.4,6.7,31.55,,4290,2.02,17
COFORGE,Midcap150,10.2,78956,24.63,1.67,20.2,29.08,3205,47184,6.0,19
COLPAL,Midcap150,10.2,51316,2.4,1.25,2.46,5.13,21376,41012,1.81,11
CONCOR,Midcap150,10.2,35389,1.26,0.71,1.12,4.4,28148,49804,1.03,16
COROMANDEL,Midcap150,10.2,57612,8.68,2.53,9.8,13.41,6636,22795,3.28,13
DABUR,Midcap150,10.2,68723,1.48,0.63,1.37,2.76,46531,108818,0.89,11
DALBHARAT,Midcap150,7.7,32740,,0.84,1.59,6.18,,38969,0.98,14
DIXON,Midcap150,9.0,80258,,3.02,22.96,50.74,,26559,14.69,16
ENDURANCE,Midcap150,9.9,37551,4.3,1.75,4.3,6.03,8737,21500,4.24,13
ESCORTS,Midcap150,10.2,30774,8.56,1.98,13.57,20.71,3593,15533,2.05,19
EXIDEIND,Midcap150,10.2,36206,2.43,2.46,2.69,4.71,14871,14730,1.92,16
NYKAA,Midcap150,4.9,97663,,0.93,0.93,3.01,,105337,1.82,6
FEDERALBNK,Midcap150,10.2,81840,4.96,4.27,6.05,10.41,16502,19180,1.67,16
FORTIS,Midcap150,10.2,67493,5.15,3.32,5.65,9.73,13111,20351,1.62,17
GVT&D,Midcap150,10.2,113096,14.04,33.99,12.71,94.23,8056,3327,1.83,31
GMRAIRPORT,Midcap150,10.2,104682,8.0,3.03,8.0,11.6,13080,34532,0.96,26
GICRE,Midcap150,8.9,60378,,2.72,0.97,6.3,,22233,1.25,24
GLAXO,Midcap150,10.2,48736,2.43,2.19,2.08,4.0,20092,22285,0.89,19
GLENMARK,Midcap150,10.2,69851,2.81,4.94,3.14,13.68,24873,14137,2.8,20
MEDANTA,Midcap150,3.8,40203,,,3.62,3.65,,,1.57,9
