Ticker,Exchange
RELIANCE,NSE
BHARTIARTL,NSE
HDFCBANK,NSE
ICICIBANK,NSE
INFY,NSE
HAL,NSE
AXISBANK,NSE
SBIN,NSE
ETERNAL,NSE
LT,NSE
GRASIM,NSE
M&M,NSE
BOSCHLTD,NSE
APOLLOHOSP,NSE
TCS,NSE
DLF,NSE
HCLTECH,NSE
ADANIPOWER,NSE
ITC,NSE
BEL,NSE
BAJFINANCE,NSE
ADANIENSOL,NSE
MARUTI,NSE
SOLARINDS,NSE
ONGC,NSE
DIVISLAB,NSE
SUNPHARMA,NSE
NTPC,NSE
TMPV,NSE
MAZDOCK,NSE
TECHM,NSE
COALINDIA,NSE
TMCV,NSE
SHRIRAMFIN,NSE
INDIGO,NSE
PFC,NSE
BAJAJ-AUTO,NSE
ASIANPAINT,NSE
NESTLEIND,NSE
HINDALCO,NSE
VEDL,NSE
HINDUNILVR,NSE
TATASTEEL,NSE
ULTRACEMCO,NSE
JIOFIN,NSE
MAXHEALTH,NSE
KOTAKBANK,NSE
ADANIENT,NSE
ADANIPORTS,NSE
MOTHERSON,NSE
TRENT,NSE
TORNTPHARM,NSE
EICHERMOT,NSE
RECLTD,NSE
TVSMOTOR,NSE
LODHA,NSE
POWERGRID,NSE
TITAN,NSE
VBL,NSE
HDFCAMC,NSE
BPCL,NSE
BRITANNIA,NSE
MUTHOOTFIN,NSE
CGPOWER,NSE
DMART,NSE
GODREJCP,NSE
HINDZINC,NSE
WIPRO,NSE
UNIONBANK,NSE
ADANIGREEN,NSE
LTM,NSE
IOC,NSE
PIDILITIND,NSE
TATAPOWER,NSE
GAIL,NSE
HYUNDAI,NSE
SBILIFE,NSE
TATACONSUM,NSE
CHOLAFIN,NSE
AMBUJACEM,NSE
SHREECEM,NSE
ABB,NSE
CUMMINSIND,NSE
DRREDDY,NSE
PNB,NSE
JSWSTEEL,NSE
ZYDUSLIFE,NSE
BANKBARODA,NSE
CANBK,NSE
CIPLA,NSE
BAJAJFINSV,NSE
INDHOTEL,NSE
HDFCLIFE,NSE
ENRIN,NSE
JINDALSTEL,NSE
UNITDSPR,NSE
IRFC,NSE
SIEMENS,NSE
TATACAP,NSE
BAJAJHLDNG,NSE
