Ticker,Company,Sector,Market Cap,Exchange,Notes
360ONE,360ONE,FINANCIAL SERVICES,,NSE,Midcap150
3MINDIA,3M India Ltd.,DIVERSIFIED,,NSE,Midcap150
ACC,ACC Ltd.,CONSTRUCTION MATERIALS,,NSE,Midcap150
AIAENG,AIA Engineering Ltd.,CAPITAL GOODS,,NSE,Midcap150
APLAPOLLO,APL Apollo Tubes Ltd.,CAPITAL GOODS,,NSE,Midcap150
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,,NSE,Midcap150
AWL,AWL,FAST MOVING CONSUMER GOODS,,NSE,Midcap150
ABBOTINDIA,ABBOTINDIA,HEALTHCARE,,NSE,Midcap150
ATGL,ATGL,OIL GAS & CONSUMABLE FUELS,,NSE,Midcap150
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,,NSE,Midcap150
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,HEALTHCARE,,NSE,Midcap150
ALKEM,Alkem Laboratories Ltd.,HEALTHCARE,,NSE,Midcap150
ANTHEM,ANTHEM,HEALTHCARE,,NSE,Midcap150
APARINDS,APARINDS,CAPITAL GOODS,,NSE,Midcap150
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE AND AUTO COMPONENTS,,NSE,Midcap150
ASHOKLEY,Ashok Leyland Ltd.,CAPITAL GOODS,,NSE,Midcap150
ASTRAL,Astral Poly Technik Ltd.,CAPITAL GOODS,,NSE,Midcap150
AUROPHARMA,Aurobindo Pharma Ltd.,HEALTHCARE,,NSE,Midcap150
AIIL,AIIL,FINANCIAL SERVICES,,NSE,Midcap150
BSE,BSE Ltd.,FINANCIAL SERVICES,,NSE,Midcap150
BAJAJHFL,BAJAJHFL,FINANCIAL SERVICES,,NSE,Midcap150
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE AND AUTO COMPONENTS,,NSE,Midcap150
BANKINDIA,Bank of India,FINANCIAL SERVICES,,NSE,Midcap150
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES,,NSE,Midcap150
BERGEPAINT,Berger Paints India Ltd.,CONSUMER DURABLES,,NSE,Midcap150
BDL,Bharat Dynamics Ltd.,CAPITAL GOODS,,NSE,Midcap150
BHARATFORG,Bharat Forge Ltd.,AUTOMOBILE AND AUTO COMPONENTS,,NSE,Midcap150
BHEL,Bharat Heavy Electricals Ltd.,CAPITAL GOODS,,NSE,Midcap150
BHARTIHEXA,BHARTIHEXA,TELECOMMUNICATION,,NSE,Midcap150
GROWW,GROWW,FINANCIAL SERVICES,,NSE,Midcap150
BIOCON,Biocon Ltd.,HEALTHCARE,,NSE,Midcap150
BLUESTARCO,Blue Star Ltd.,CONSUMER DURABLES,,NSE,Midcap150
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,,NSE,Midcap150
COCHINSHIP,Cochin Shipyard Ltd.,CAPITAL GOODS,,NSE,Midcap150
COFORGE,COFORGE,INFORMATION TECHNOLOGY,,NSE,Midcap150
COLPAL,Colgate Palmolive (India) Ltd.,FAST MOVING CONSUMER GOODS,,NSE,Midcap150
CONCOR,Container Corporation of India Ltd.,SERVICES,,NSE,Midcap150
COROMANDEL,Coromandel International Ltd.,CHEMICALS,,NSE,Midcap150
DABUR,Dabur India Ltd.,FAST MOVING CONSUMER GOODS,,NSE,Midcap150
DALBHARAT,DALBHARAT,CONSTRUCTION MATERIALS,,NSE,Midcap150
DIXON,Dixon Technologies (India) Ltd.,CONSUMER DURABLES,,NSE,Midcap150
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE AND AUTO COMPONENTS,,NSE,Midcap150
ESCORTS,Escorts Ltd.,CAPITAL GOODS,,NSE,Midcap150
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE AND AUTO COMPONENTS,,NSE,Midcap150
NYKAA,NYKAA,CONSUMER SERVICES,,NSE,Midcap150
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,,NSE,Midcap150
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE,,NSE,Midcap150
GVT&D,GVT&D,CAPITAL GOODS,,NSE,Midcap150
GMRAIRPORT,GMRAIRPORT,SERVICES,,NSE,Midcap150
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,,NSE,Midcap150
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,HEALTHCARE,,NSE,Midcap150
GLENMARK,Glenmark Pharmaceuticals Ltd.,HEALTHCARE,,NSE,Midcap150
MEDANTA,MEDANTA,HEALTHCARE,,NSE,Midcap150
GODFRYPHLP,Godfrey Phillips India Ltd.,FAST MOVING CONSUMER GOODS,,NSE,Midcap150
GODREJIND,Godrej Industries Ltd.,DIVERSIFIED,,NSE,Midcap150
GODREJPROP,Godrej Properties Ltd.,REALTY,,NSE,Midcap150
FLUOROCHEM,FLUOROCHEM,CHEMICALS,,NSE,Midcap150
HDBFS,HDBFS,FINANCIAL SERVICES,,NSE,Midcap150
HAVELLS,Havells India Ltd.,CONSUMER DURABLES,,NSE,Midcap150
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE AND AUTO COMPONENTS,,NSE,Midcap150
HEXT,HEXT,INFORMATION TECHNOLOGY,,NSE,Midcap150
HINDPETRO,Hindustan Petroleum Corporation Ltd.,OIL GAS & CONSUMABLE FUELS,,NSE,Midcap150
POWERINDIA,POWERINDIA,CAPITAL GOODS,,NSE,Midcap150
HONAUT,Honeywell Automation India Ltd.,CAPITAL GOODS,,NSE,Midcap150
